FID,NAME,TYPE,YEAR_BUILT,LATITUDE,LONGITUDE
157,Lake of the Clouds Hut,Stick_w/Lumber_sidng,1915,44.258841613,-71.319459646
158,Rattle River,Stick_w/Lumber_sidng,0,44.380023725,-71.108102341
159,Imp Campsite,Log/Lumber,1981,44.328948802,-71.150717041
160,Carter Notch Hut,Stone,0,44.259410527,-71.195916370
161,Ethan Pond,Log,0,44.177209000,-71.427338726
162,Kinsman Pond,Log/Lumber,2007,44.136919965,-71.732885657
163,Eliza Brook,Log/Lumber,0,44.100931051,-71.742657036
164,Beaver Brook,Log,1993,44.033080258,-71.811842073
165,Clarendon,Stick_w/Lumber_sidng,0,43.523666918,-72.913118070
166,Sabbath Day Pond Lean-to,Log,0,44.841000638,-70.662666119
167,Piazza Rock Lean-to,Log,0,44.904205008,-70.530661477
168,Pleasant Pond Lean-to,Log,0,45.271257758,-69.917327624
169,Guyot,Log/Lumber,0,44.161077583,-71.535577682
170,Spaulding Mountain Lean-to,Log,0,44.995781389,-70.341895119
173,Cooper Brook Falls Lean-to,Log,0,45.640455707,-69.088063718
186,Velvet Rocks,Timber_Frame,0,43.702583203,-72.265209658
189,Wildcat,Stick_w/Lumber_sidng,0,41.268264669,-74.268198029
192,Bearfence Mountain Hut,Stone/Log,0,38.444067007,-78.470714866
195,Wiley,Log,0,41.637880946,-73.532793267
198,Clark's Ferry,Stick_w/T1_siding,1980,40.392229107,-76.994080437
201,Manassass Gap,Log,0,38.930606640,-78.032993961
205,Bake Oven Knob,Log,1937,40.754111314,-75.727428673
206,Jim & Molly Denton,Stick_w/T1_siding,1988,38.89003,-78.08335
208,Eagles Nest,Log,0,40.549352118,-76.152755252
209,Windsor Furnace,Log,0,40.59054,-75.94160
211,Hightop Hut,Log/Lumber,0,38.333139494,-78.558587189
212,Tom Floyd Wayside,Other,0,38.85042,-78.16395
213,Blackrock Hut,Stone/Log,0,38.214194080,-78.743189361
216,Eckville,Other,0,40.63374,-75.95826
218,Rausch Gap,Log,2012,40.49864,-76.60047
219,Fingerboard,Stone,1928,41.263273451,-74.104465555
221,Leroy A. Smith,Log,1972,40.83939,-75.35978
223,Rocky Run,Log,2008,39.462143538,-77.631068008
224,Kirkridge,Other,2006,40.93672,-75.18680
227,Darlington,Stick_w/T1_siding,2006,40.30198,-77.08723
230,Big Branch,Other,0,43.36415,-72.94688
232,Little Rock Pond,Timber_Frame,2010,43.398836519,-72.955171453
233,Zealand Falls Hut,Other,0,44.19586,-71.49485
236,Churchhill Scott,Post_&_Beam,0,43.64491,-72.85389
238,Cooper Lodge,Stone/Log,0,43.60609,-72.82298
239,Ensign Cowall,Log,0,39.630991007,-77.555970041
240,Horns Pond Lean-to (west),Log/Lumber,0,45.14393,-70.33022
241,Pine  Knob,Log,0,39.542479117,-77.602120797
242,Horns Pond Lean-to (east),Log/Lumber,0,45.14393,-70.33025
243,Rutherford,Log,1967,41.277460921,-74.678221857
244,Carl A. Newhall Lean-to,Log,0,45.53111,-69.31576
245,Crampton Gap,Log/Lumber,0,39.412562369,-77.637335372
246,Logan Brook Lean-to,Log,0,45.56095,-69.23575
248,Greenwall,Other,0,43.44061,-72.92996
249,Ed Garvey,Log/Lumber,2000,39.359791877,-77.662039538
250,Lula Tye,Other,0,43.39546,-72.95514
251,Pochuck Mountain,Other,0,41.271259870,-74.515345090
253,Mashipicong,Stone,0,41.252158677,-74.686358749
254,Mark Noepel Lean-to,Timber_Frame,0,42.60864,-73.18462
255,Wawayanda,Log/Lumber,0,41.202215996,-74.398137109
256,Wilbur Clearing Lean-to,Stick_w/T1_siding,0,42.66778,-73.17062
257,Ten Mile River Lean-to,Log,1995,41.665173451,-73.509678324
259,Frye Notch Lean-to,Log/Lumber,0,44.627955499,-70.900398064
261,Chairback Gap Lean-to,Log/Lumber,0,45.453160491,-69.262378662
263,Cloud Pond Lean-to,Log/Lumber,0,45.418095306,-69.353853113
265,Long Pond Lean-to,Log/Lumber,0,45.421148471,-69.410229635
267,The Hemlocks Lean-to,Other,0,42.109699767,-73.429111795
269,Glen Brook Lean-to,Other,1986,42.111040390,-73.427718826
271,Mount Algo Lean-to,Log/Lumber,0,41.731808465,-73.496264683
273,Poplar Ridge Lean-to,Log/Lumber,0,44.970045276,-70.445927615
278,Melville Nauheim,Other,0,42.887840904,-73.095559801
283,Rod Hollow,Log/Lumber,0,39.047596674,-77.944371288
285,Morgan Stewart,Log/Lumber,1984,41.564538545,-73.692166478
287,Telephone Pioneers,Log/Lumber,0,41.603841184,-73.619268451
289,Allentown,Log,1997,40.683047202,-75.874222067
291,PA 501,Other,0,40.513165416,-76.346835095
293,Happy Hill,Stone/Log,1998,43.724071957,-72.365666580
295,Pinefield Hut,Unknown,0,38.290520000,-78.646030000
296,Bromley,Post_&_Beam,2003,43.222413201,-72.950995711
298,Peru Peak,Log/Lumber,2011,43.301214488,-72.952821667
299,Rock Spring Hut,Unknown,0,38.553490000,-78.408580000
300,Stewart Hollow Brook Lean-to,Log/Lumber,1987,41.779290646,-73.418983542
301,Byrds Nest 3,Stone,0,38.634400000,-78.324040000
302,William B. Douglas,Log/Lumber,1956,43.144572954,-72.991389917
303,Gravel Springs Hut,Unknown,0,38.763840000,-78.233910000
304,Stratton Pond,Post_&_Beam,1999,43.100531464,-72.964508515
305,Pass Mountain Hut,Unknown,0,38.676560000,-78.319180000
306,Tom Leonard Lean-to,Timber_Frame,1988,42.164845070,-73.306252563
308,Leeman Brook Lean-to,Log,0,45.351632488,-69.499220284
309,Horseshoe Canyon Lean-to,Log,1990,45.282843065,-69.628115480
310,Sam Moore,Unknown,0,39.090630000,-77.886570000
311,West Carry Pond Lean-to,Log,0,45.158088318,-70.100441279
313,Blackburn Trail Center,Other,0,39.187860000,-77.797690000
