shelter,number,lat,lon
"sassafrass mtn 8:45am",6,None,None
"side-of-the-trail campsite",2,None,None
"kinkora hostel, us 321",219,None,None
"the final leg of the journey",32,None,None
"haven budget inn",3,None,None
"bob's house; vershire, vt",4,None,None
"lyme-dorchester road, nh",28,None,None
"bear creek campground, ga",2,None,None
"unknown campground",22,None,None
"unnamed rocky summit, nc",4,None,None
"marians house",4,None,None
"mt. algo leant-to",2,None,None
"at north",31,None,None
"lagg run shelter",4,None,None
"camping a half-mile past hogpen gap",16,None,None
"lunsforo gap to neels gap;resupply&bunk@walasi-yi",2,None,None
"whitehouse landing wilderness camp",752,None,None
"tollitson camp",24,None,None
"mount wilcox south lean-to",0,42.207727,-73.268756
"highpoint shelter",63,None,None
"walnut mt rd",1,None,None
"william douglas shelter, vt",54,None,None
"lost pond campsite",51,None,None
"catfish firetower",8,None,None
"near millbrook, nj",38,None,None
"2 miles n of hell hollow brook, vt",16,None,None
"carribou valley road",66,None,None
"matapediea",1,None,None
"east side of roan mountain",4,None,None
"melville nauheim shelter",711,42.88782,-73.09507
"stratton mtn. ski patrol warming hut",276,None,None
"maine-new hampshire line",12,None,None
"east mountain (mile 1512)",6,None,None
"wesser shelter",14,None,None
"tass run campground, pa.",15,None,None
"billy's view campsite",39,None,None
"pairsburg va",1,None,None
"waynesboro - deluxe budget motel, room 42",30,None,None
"tom and nancy's - family reunion",5,None,None
"va hwy 624 & a.t. junction",3,None,None
"trail side camping by owl's head mt",16,None,None
"moose mtn shelter",197,None,None
"somewhere along the a.t.",5,None,None
"danby, vt",6,None,None
"1 mile past shelter",4,None,None
"end of creeper trail",3,None,None
"matagamon wilderness campground",4,None,None
"secret saco river campsite",58,None,None
"lizard hollow, somewhere in virginny",2,None,None
"mohican center (hostel)",9,None,None
"melville nauhiem shelter",17,None,None
"damascus - the dancing bear b & b",211,None,None
"mountain harbour ii",5,None,None
"vermont 14 near west hartford",50,None,None
"nantalaha outdoor center",2,None,None
"springer !",1,None,None
"mt vernon",66,None,None
"campsite north of va 42 to davis farm campsite, 17",10,None,None
"lewis mtn. campground",18,None,None
"paul wolf shelter",36,None,None
"stealth shelter",13,None,None
"hwy 76",4,None,None
"secret shelter at goldsmith rd",1,None,None
"standing bear tree farm hostel",42,None,None
"delvil fork gap",4,None,None
"white river junction, vt",34,None,None
"hudson river valley",13,None,None
"unknown campsite",59,None,None
"green blazing!",8,None,None
"helveys mill shelyter",8,None,None
"dalton.ma",101,None,None
"wayansboro, va",2,None,None
"rest stop - ohil",19,None,None
"me 4, rangeley",100,None,None
"nh25c (to hiker hostel in glencliff)",109,None,None
"mendon, vermont",24,None,None
"of 2000 miles and emus",32,None,None
"williamsport!!!",2,None,None
"mousilauke",2,None,None
"newfound gap, tn? nc?",627,None,None
"somewhere over the rainbow!",2,None,None
"the palace of pike",2,None,None
"tent sit by us421",2,None,None
"good friends",2,None,None
"silers bald shelter",0,35.5643,-83.56822
"campsite before smith shelter",22,None,None
"statton brook pond road",3,None,None
"the lazy fox b&b, damascus",3,None,None
"the great beyond",2,None,None
"melville naucheim shelter",7,None,None
"connecticut-new york state line",29,None,None
"pearisburg-catholic church hostel",604,None,None
"anna maria island, fl - vacation",2,None,None
"bemmis spring",28,None,None
"atalntic city, nj",9,None,None
"va hwy 606 9:30 am",8,None,None
"gatlin burg",8,None,None
"bourn again",5,None,None
"mt. collins tentsite",3,None,None
"ma2 road (b&b 2nd night)",16,None,None
"ga - me",9,None,None
"blacksburg",243,None,None
"vt 9 bennington",22,None,None
"rutland...still",1,None,None
"ascent from hell",8,None,None
"carter gap",1176,34.998915,-83.494233
"fotana dam",1,None,None
"prep",169,None,None
"feynan lodge",2,None,None
"day 1 on the trail",55,None,None
"pizza rock shelter",1,None,None
"maryland – pennsylvania border",15,None,None
"harpers ferrry, wv",1,None,None
"n of wyman mt campsite",26,None,None
"speck pond shelter",979,44.56469,-70.97362
"wytheville va",4,None,None
"half mile past brinks shelter",2,None,None
"walnut mt shelter, nc",6,None,None
"20.8 miles back",3,None,None
"atc headquarters",20,None,None
"campsite at dismal falls",10,None,None
"virginia 624",2,None,None
"ny rte 55",2,None,None
"blueberry hostile",1,None,None
"william brien mem. shelter",6,None,None
"nh16",5,None,None
"day 89: kellogg rd bridge over housatonic rv, ma",1,None,None
"maildrops away!",1,None,None
"dan river campground, nc",72,None,None
"nh-25a",23,None,None
"griffth lake tenting site",16,None,None
"trail days, damascus",38,None,None
"dalton, ma.",747,None,None
"glasgow,va",88,None,None
"jail house hostel, palmerton, pa",15,None,None
"skylinedr. mile 21.9",2,None,None
".3 miles north of rt. 94, pa",10,None,None
"north of barren mountain",2,None,None
"danny's place, lynchburg",7,None,None
"headin' out on the fly",6,None,None
"usfs 812",2,None,None
"bearfence hut, va.",112,None,None
"madison springs hut",338,44.32779,-71.28318
"todd, pa",16,None,None
"whitehouse brook stealth camp",48,None,None
"wentworth nh",10,None,None
"bobblitts' shelter",4,None,None
"same",99,None,None
"north of standing bear",2,None,None
"raymond, me",28,None,None
"rt. 17a & at",381,None,None
"lost mt. shelter",39,None,None
"up to springer",22,None,None
"garden mtn",8,None,None
"pa-325",28,None,None
"washington mtn road",4,None,None
"just past helvesys mill shelter",8,None,None
"bull gap 3740'",15,None,None
"maine 4",320,None,None
"trent's grocery - wipiti shelter",18,None,None
"bear hollow shelter",24,None,None
"police hostel",4,None,None
"port clinto pavilion",2,None,None
"wild cat shelter (shelter)",75,None,None
"? shelter",102,None,None
"trail to buttermilk falls",14,None,None
"ma 2 (north adams)",36,None,None
"high rock tentsite",2,None,None
"moose sighting",6,None,None
"standing indian mtn.",77,None,None
"little paint creek trail",12,None,None
"blackrock hut",1159,38.21426,-78.74294
"campsite by waterfall",6,None,None
"stealth site at usfs 222",34,None,None
"somewhere in maine",13,None,None
"me 201",15,None,None
"mainia",1,None,None
"simmons gap in snp",30,None,None
"state college, pa",4,None,None
"birch spring campsite",49,None,None
"perham stream rd.,me",200,None,None
"conn/ny border",2,None,None
"another bed, more cocoa and cookies",1,None,None
"sunk mine rd",8,None,None
"this is the chief, signing off",1,None,None
"timber ridge trail",24,None,None
"battell shelter",24,None,None
"andover guest house",805,None,None
"sweet briar (still)",11,None,None
"worthington state forest (nj)",1,None,None
"back at damascus",2,None,None
"stoney brook trail",38,None,None
"graymoor friary",872,None,None
"devil spring gap shelter",4,None,None
"harpers ferry wv (hampton inn martinsburg)",624,None,None
"john's creek mountain",12,None,None
"mahar tote rd",361,None,None
"north of white pines",4,None,None
"mizpah springs hut",55,None,None
"camping atop beauty spot",38,None,None
"vandeventer",576,36.36696,-82.058896
"safford notch c/s,me",28,None,None
"davenpost gap shelter tn",6,None,None
"desert castles",1,None,None
"wilbur brook",98,None,None
"tyringham , mass.",17,None,None
"wallace gap, nc",25,None,None
"river rd below silver hill",1,None,None
"seth warner shelter",467,42.77193,-73.13694
"va. 602 stealth site",10,None,None
"inn@long trail",4,None,None
"blackburn trail shelter",12,None,None
"gorham, n.h.",445,None,None
"near crawford pond, me",4,None,None
"unicola gap & hiawasse",2,None,None
"little swift pond campsite",8,None,None
"walnut creek shelter (2850')",14,None,None
"pine grove stealth site",16,None,None
"just before mt. albert, nc",1,None,None
"winturri",140,43.66221,-72.622433
"mountain moma's country store",2,None,None
"n.o.c.c. nantahala outdoor center",344,None,None
"damscus, va",21,None,None
"bear mountain bridge @ 8:00 a.m.",81,None,None
"worthington state forest, nj",2,None,None
"bemis mountain, me",20,None,None
"rough camp – south of so-mary road",2,None,None
"510 shelter",8,None,None
"bodfish pond rd.",6,None,None
"campsite just beyond max patch",65,None,None
"animals",1,None,None
"lambert meadow shadow",10,None,None
"stealth site north of mt. cube peak",56,None,None
"cripple creek",2,None,None
"lambert's meadow shelter,va",191,None,None
"questionable",2,None,None
"seely-woolworth shelter",10,None,None
"va56",25,None,None
"loft mountain wayside",10,None,None
"potaywadjo spring leant-to",8,None,None
"fahnstock state park camp ground",44,None,None
"unionville, ny",282,None,None
"i-81/relax inn",92,None,None
"trent's campground near va 606",56,None,None
"loni and rieds house, lake norman",8,None,None
"me 4 & rangeley",18,None,None
"bald mt brook lean-to",78,None,None
"cherokee, nc",4,None,None
"me 17 to me 4",22,None,None
"locust cove gap,nc",150,None,None
"caldonia state park",10,None,None
"ed gorvey shelter",3,None,None
"chery gap shelter",4,None,None
"springer mtn georgia",114,None,None
"beginning shenandoahs",3,None,None
"past style's peak",6,None,None
"june mountain",14,None,None
"loft.mtn. campground",6,None,None
"lord only knows",17,None,None
"big flat fire tower",24,None,None
"us220/daleville",160,None,None
"turnhole knob,va",2,None,None
"blond va (motel)",2,None,None
"jim murray's 'secret' shelter",12,None,None
"nantahala outdoor center @ wesser",10,None,None
"melville hanheim lean-to",2,None,None
"1.5 miles north of turkey gap (tent)",10,None,None
"entry trail",1,None,None
"eddy pond campsite",32,None,None
"asheville,n.c.",39,None,None
"fontana village motel",2,None,None
"campsite next to stream",6,None,None
"pearisville va",2,None,None
"abol campground",87,None,None
"vt100 (1690')",18,None,None
"abol bridge campground (21/2 miles short",1059,None,None
"ten-mile leanto",6,None,None
"goodard shelter",16,None,None
"abol bridge leanto",88,None,None
"daleville econolodge",18,None,None
"humpback campsite",1,None,None
"pierce pon lean-to",8,None,None
"palm orchard gap shelter",2,None,None
"south crocker mtn",36,None,None
"lynn camp creek",52,None,None
"a.t. hiker hostel, dahlonega, g",10,None,None
"03/24/2005",1,None,None
"solon, me",2,None,None
"blueberry mountain shelter",2,None,None
"firewarden's shelter",6,None,None
"hotel champlain",96,None,None
"newfound gap (tn)",1,None,None
"n.j. hwy.94 ,vernon, n.j.",61,None,None
"shelter, mark noepal lean-to",40,None,None
"beside elk river",31,None,None
"west cornwall rd.",14,None,None
"nantahala, nc",2,None,None
"fs 42/ hightower gap, ga",3,None,None
"camping area near rich mountain",2,None,None
"mont jacques cartier",2,None,None
"mt. algo lean-t0",10,None,None
"cap chat river, mutane reserve, quebec",2,None,None
"day 9",43,None,None
"west canary pond lean/to",15,None,None
"us-302 crawford notch",6,None,None
"bemis stream campsite (tent)",178,None,None
"bear mountain summit",1,None,None
"harris regional hospital",91,None,None
"our night in jail",4,None,None
"lehigh gap hotel",13,None,None
"roller coaster stealth camp",12,None,None
"chesse factory site",3,None,None
"jenkins",1111,37.09335,-81.247814
"carter notch - amc hut",100,None,None
"newfound gap, nc",2,None,None
"stealth camp 1 mile so. stewart hollow brook lean",46,None,None
"locust mt,va",2,None,None
"meville nauheim shelter",4,None,None
"top notch inn",6,None,None
"tri-corner shelter, tn",36,None,None
"sherburn pass trail",2,None,None
"mt.greylock camp ground",24,None,None
"horseshoe trail campsite pa",4,None,None
"us11/i-81",31,None,None
"mike palmer",1,None,None
"middle creek picnic area",8,None,None
"damascus va",540,None,None
"brown mt. creek campground",4,None,None
"housatonic river road",2,None,None
"rector laurel rd",4,None,None
"tyringham, ma (645.5 miles)",8,None,None
"david lesser mem shelter 8:30 am",2,None,None
"foley house",1,None,None
"stream after max patch",4,None,None
"standing bear farm",940,None,None
"licklog gap - near it",10,None,None
"camping lac cascapedia",4,None,None
"jeff and deb's in stockport, ny",8,None,None
"to firewarden's cabin",114,None,None
"nick grindstaff monument",10,None,None
"base of locust mountain",6,None,None
"coopers lodge shelter",24,None,None
"in between lincoln and layfayette",15,None,None
"va 130 campsite",22,None,None
"chairback leanto",6,None,None
"maupin shelter",45,None,None
"deleware water gap (church hostel)",134,None,None
"damascus - feastivities",3,None,None
"la mesange",2,None,None
"lambert's meadow shelter (2*)",2,None,None
"campsite near island pond outlet",96,None,None
"campsite at stream@mile 504.3",13,None,None
"maine hwy. 27",1,None,None
"tom lavardi's house, dalton",9,None,None
"goose pond cabin's porch",22,None,None
"stealth site before liberty spring",2,None,None
"potaywadjo spring lean to",8,None,None
"some barn",4,None,None
"duncannon (carlisle to naked's sons house)",228,None,None
"neils gap",5,None,None
"some camp 5 miles out",8,None,None
"bland - us 52 (587.1)",79,None,None
"long pond stream shelter",18,None,None
"ummm???",24,None,None
"madeleine, quebec",2,None,None
"slaughter creek tent sites",4,None,None
"vernon - st. thomas",8,None,None
"palmerton, pa.",103,None,None
"dennis cove/kincora",54,None,None
"cherry gap shelter",1022,36.12924,-82.26412
"shady valley, va",1,None,None
"us22/322 (ziploc's house)",3,None,None
"angel's gap",2,None,None
"maupon field shelter",2,None,None
"stream at mile 1771.6",2,None,None
"va. 55",6,None,None
"jump up for love",63,None,None
"ct 55 parking lot",4,None,None
"stealth...holly brook",2,None,None
"black rook hut",4,None,None
"the inn at long trail -- killington, vt",76,None,None
"campsite, pa",13,None,None
"maupin creek shelter",2,None,None
"walasi-yi cabin",17,None,None
"camping south of pomfret rd.",16,None,None
"uncle johnnys erwin, tenn",4,None,None
"dave's camp",1,None,None
"relax inn us 11",32,None,None
"tennessee hwy 91",5,None,None
"stealth near ten mile river, ct",34,None,None
"maine rt27",10,None,None
"mt. collin's shelter",18,None,None
"mahoosuc notch (east end)",46,None,None
"toronto, canada",3,None,None
"ny 302",3,None,None
"sawmill run lanbert meadows campsite",8,None,None
"hawaissi holiday inn",3,None,None
"franklin, n.c. (day 1)",67,None,None
"pa rte 309",5,None,None
"springer & hawk",1,None,None
"base of mount cube",2,None,None
"junction from davis farm campsite",74,None,None
"ramblings from fontana",27,None,None
"thomas knob",1026,36.656521,-81.53542
"nantahala outdoor center (n.o.c.)",392,None,None
"campground in nc",8,None,None
"waki shltr",2,None,None
"shopping?",1,None,None
"rainbow falls",2,None,None
"pa highway 16",1,None,None
"no. va. 4-h club, va",1,None,None
"salisbury, connecticut",256,None,None
"dahlgren back pack campgound",1,None,None
"off trail - antique market",94,None,None
"rausch mountain shelter",8,None,None
"pine ellis hostel",64,None,None
"wadleigh stream leanto",2,None,None
"the inn of the long trail",5,None,None
"about a mile north of rt. 2",1,None,None
"pen-mar state park",7,None,None
"disclaimer",1,None,None
"transcriber's note",5,None,None
"catawba",821,37.388205,-80.057094
"dicks creek gap (blueberry patch)",116,None,None
"bailey creek",6,None,None
"relax inn @ interstate 81",4,None,None
"the birches",1487,None,None
"troutville virginia",56,None,None
"newfound gap (i'm so ashamed)",1,None,None
"headin' northin the morning",14,None,None
"carolina scout's hostel, jasper, ga",2,None,None
"somewhere on east mountain",6,None,None
"campsite by river",7,None,None
"wing spring",6,None,None
"leckskillet hollow",2,None,None
"kingsport, tn",1,None,None
"laurel ridge cs",26,None,None
"hagerstown, md",10,None,None
"reflections thus far",2,None,None
"stealth camp by mt. hayes",21,None,None
"bold faced names",3,None,None
"moon road",4,None,None
"wind gap/saylorsburg road, pa",316,None,None
"holy hail storm!!",2,None,None
"mountain view pond",130,None,None
"mt everette jug end (ma)",15,None,None
"bennington, hero day proclaimed!!!",48,None,None
"arrived in neels gap...",295,None,None
"can't remember",13,None,None
"nj 94, vernon",14,None,None
"turner's gap",15,None,None
"hiawassee inn",99,None,None
"lake buel road",26,None,None
"gatlinberg,tn",11,None,None
"rice mtn",5,None,None
"big spring gap",16,35.058918,-83.478898
"waterville road and pigeon river, tn",15,None,None
"perth andover",1,None,None
"new york city to pine brook, nj",198,None,None
"black rock stream",10,None,None
"lakes of the clouds hut (5,000')",4,None,None
"1 mile past pole steeple",20,None,None
"route 30 pa",14,None,None
"beauty point",4,None,None
"tentsite north of harmon hill",10,None,None
"inn at afton",79,None,None
"sugarloaf mountain warming hut",20,None,None
"tent, stealth btwn franconia brook trail & gale rv",32,None,None
"norwalk, ct",2,None,None
"standing indian shelter",705,35.04197,-83.54806
"caratunk me",224,None,None
"fontana village inn",200,None,None
"story mtn",2,None,None
"pine ellis b + b",14,None,None
"harriet's house - snickersville",4,None,None
"numbers game",1,None,None
"camp near joe-mary rd.",70,None,None
"south pomfret - pomfret road",10,None,None
"blairesville ga",1,None,None
"cascade gorge",2,None,None
"symm's gap meadows",7,None,None
"new entry",2,None,None
"near saco river",2,None,None
"usfs road 86",12,None,None
"mt.hayes,nh",36,None,None
"pearisburg virginia",27,None,None
"fondana dam",4,None,None
"grafton notch (south paris)",6,None,None
"waukeela camp, eaton, nh",1,None,None
"still in bland",4,None,None
"crawford notch (highland lodge)",4,None,None
"mile 1667",2,None,None
"n.o.c. - us 19",4,None,None
"beside the trail, no tent, no sleeping bag!",2,None,None
"chairback gap lean-to",2019,45.45311,-69.26174
"memory lane",3,None,None
"maine hwy. 4",1,None,None
"morgan sterwart shelter",22,None,None
"green cove rockin d cabin",5,None,None
"lost pond trail",6,None,None
"change in plans",1,None,None
"brink rd. shelter",35,None,None
"darling campsite",2,None,None
"little laurle shelter",8,None,None
"hightop mtn hut",28,None,None
"west cary lean-to",38,None,None
"pittsfield, mass",9,None,None
"woody gap to blue ridge gap",68,None,None
"damascus - hikers inn",15,None,None
"near greenwood lakes",16,None,None
"jerry’s shelter",2,None,None
"frazier discovery trail",6,None,None
"telephone pioneers",742,41.603841,-73.619268
"harriman state park",55,None,None
"a 'zen master i am not!",1,None,None
"campsite on peters mtn.",17,None,None
"walasi-yi/neels gap",1,None,None
"campsite by spring at mile 293.3",4,None,None
"iron mountin shelter",4,None,None
"tented at us58",12,None,None
"hilltop house hotel, harper's ferry, wv (270')",132,None,None
"pine grove furnace s. p. (iron masters mansion)",56,None,None
"compton's gap (terrapin station hostel)",61,None,None
"morgan srewart shelter",4,None,None
"rock spring, va",4,None,None
"a shelter beginning w/w or v",1,None,None
"gemmer road",28,None,None
"palmerton (jailhouse)",16,None,None
"us201",154,None,None
"stream just north of dockery lake trail",4,None,None
"duncannon, pennsylvania",4,None,None
"carriage motel, north woodstock",487,None,None
"poplar ridge l/t",5,None,None
"uncle's house",2,None,None
"unnamed hostel",2,None,None
"old blue tent-site - harrison's camps (5 days)",18,None,None
"helvy's mills shelter",26,None,None
"international border shleter",6,None,None
"somewhere in ohio",2,None,None
"crafton notch",6,None,None
"riley brook, nb",2,None,None
"campsite near knot mound shelter",18,None,None
"andover--the cabin",12,None,None
"iron bridge, fallls villiage",16,None,None
"dennis cove, tn",138,None,None
"guest entry by pippa brashear",2,None,None
"shenorock, ny",2,None,None
"max patch mountain campsite",4,None,None
"billy's view, ct",22,None,None
"clear and sunny? right!",1,None,None
"charter gap shelter",2,None,None
"montebello fishing & camping resort",33,None,None
"atlanta, ga",115,None,None
"mt algo lean-to",64,None,None
"demascus",49,None,None
"mt. carleton provincial park",2,None,None
"trail days damascus",11,None,None
"pochuck shelter",89,None,None
"liberty corners rd.",8,None,None
"bear fence mountian hut",8,None,None
"white wolf inn; stratton",60,None,None
"ensign cowall",522,39.630991,-77.55597
"loft mountain camp ground",12,None,None
"st. johns ledes",2,None,None
"ashfield road, pa",2,None,None
"east flagstaff road",318,None,None
"shoney's a.y.c.e. buffet? waynesboro",1,None,None
"training hikes",1,None,None
"betsy gap",4,None,None
"limestone springs lean-to",145,None,None
"groundhog trail (3400') mp 634.9",1,None,None
"campsite above cloudland road",40,None,None
"ice spring water shelter",4,None,None
"clearwater, florida - my parents' house",121,None,None
"me27-stratton-white wolf inn",40,None,None
"rocky mtn campsite",4,None,None
"derick nob shelter",2,None,None
"dicks creek gap and the blueberry patch",25,None,None
"tyre top",26,None,None
"bear fence hut",56,None,None
"the scottish inn, milford, pa",12,None,None
"past rock shelter",4,None,None
"a little past spring",2,None,None
"whiskey springs, pa.",3,None,None
"phyllip's canyon spring",2,None,None
"tented by dismal falls creek trail",40,None,None
"pinefield hut",781,38.29057,-78.64576
"big butt mountain",22,None,None
"guyot campsite shelter",35,44.16104,-71.53504
"round bald",8,None,None
"montgomery village, md",10,None,None
"atkins virginia",81,None,None
"bradenton, fl",1,None,None
"kaye wood lean-to, mass",2,None,None
"kinsmen n",3,None,None
"forest to farm",6,None,None
"zero in manchester, vt - ah, dry feet",422,None,None
"church of the mt. hostel",2,None,None
"another snowy day",8,None,None
"me!!!!",4,None,None
"pittfield road, ma",7,None,None
"campsite by surplus pond",116,None,None
"hotel lobby",1,None,None
"indian grave mtn.",1,None,None
"campsite past harpers ferry",2,None,None
"route 220, daleville",5,None,None
"shirley miller wildflower park",7,None,None
"georgetown, d.c. *off trail*",8,None,None
"just north of big meadows lodge",60,None,None
"ashby hollow campsite (tarp)",4,None,None
"cases of mistaken identity",2,None,None
"tye river - va 56",42,None,None
"hunger mother s. p.,marion,va.",15,None,None
"stealth spot",34,None,None
"orange turnpike (dave rosner's house)",2,None,None
"maul branch shelter, va",7,None,None
"sandy hook hostel",44,None,None
"grafton notch/me26 parking area",135,None,None
"pennsylvania-maryland state line",8,None,None
"eddy pond, saddleback mt. (tenting)",108,None,None
"snowbound in ga",1,None,None
"hertline campsite",4,None,None
"the presidentials and smashing windows",1,None,None
"gondola hut near saddleback mtn. summit",2,None,None
"update about lack of hiking",4,None,None
"rt. 608",4,None,None
"dismall creek falls",3,None,None
"pleasant river campsite 630",216,None,None
"humpback overlook campsite",2,None,None
"already back in ca",3,None,None
"skyline drive, mile marker 88.9",11,None,None
"county rd 565; glenwood, nj",11,None,None
"gamelands parking lot",2,None,None
"seely woodworth shelter",39,None,None
"san antonio, texas",2,None,None
"mark noepel lean to",28,None,None
"rt.17a &at,ny",28,None,None
"trail days in damascus (tarp)",33,None,None
"south fork of the holston river",5,None,None
"carlo camp shelter",4,None,None
"unamed woods road",3,None,None
"hall mt. lean-to, maine",48,None,None
"mile 1406",2,None,None
"maine! practice hike/gear",1,None,None
"washington monument park md",7,None,None
"camp near keys gap",2,None,None
"vt 12",338,None,None
"200 miles north",4,None,None
"sore foot, slower pace",6,None,None
"pen mar road, pa",8,None,None
"three mile rd.",4,None,None
"copper gap",2,None,None
"shelter,nj",3,None,None
"blye gap",2,None,None
"pause for the paws",1,None,None
"idyllwild, california (deer springs trail)",1,None,None
"tom levardi's yard, dalton, massachusetts",232,None,None
"jug end, ma",2,None,None
"worcester, ma",5,None,None
"new website for our journal",6,None,None
"harper creek shelter",6,None,None
"houlton, me",2,None,None
"troutdale,va",127,None,None
"my parents house",1,None,None
"econolodge motel",16,None,None
"north woodstock, new hampshire",23,None,None
"east mountain, ma",42,None,None
"campsite past pa 233",3,None,None
"rangers office springer",1,None,None
"hall mtn, lean-to",14,None,None
"somewhere's pa",2,None,None
"** update**",2,None,None
"wyman mountain",4,None,None
"bobblet's shelter",2,None,None
"u.s. 21- bland",4,None,None
"caratunk/northern outdoors lodge",74,None,None
"zeacliff",82,None,None
"more night woes",6,None,None
"ymca campground, waynesboro",32,None,None
"october mountain lean-to",180,42.35493,-73.15404
"laural falls",10,None,None
"stormville, ny",11,None,None
"seth warner",683,42.772159,-73.137283
"veggin",1,None,None
"glenclif, nh",2,None,None
